A1,0
A2,0
A3,0
A4,0
A5,0
A6,0
A7,0
A8,0
A9,0
A10,0
A11,0
A12,0
A13,0
A14,0
A15,0
A16,0
A17,0
A18,0
A19,0
A20,0
A21,0
A22,0
A23,0
A24,0
A25,0
A26,0
B1,0
B2,0
B3,0
B4,0
B5,0
B6,0
B7,0
B8,0
B9,0
B10,0
B11,0
B12,0
B13,0
B14,0
B15,0
B16,0
B17,0
B18,0
B19,0
B20,0
B21,0
B22,0
B23,0
B24,0
B25,0
B26,0
B27,0
B28,0
B29,0
B30,0
B31,0
B32,0
C1,0
C2,0
C3,0
C4,0
C5,0
C6,0
C7,0
C8,0
C9,0
C10,0
C11,0
C12,0
C13,0
C14,0
C15,0
C16,0
C17,0
C18,0
C19,0
C20,0
C21,0
C22,0
C23,0
C24,0
C25,0
C26,0
C27,0
C28,0
C29,0
D1,0
D2,0
D3,0
D4,0
D5,0
D6,0
D7,0
D8,0
D9,0
D10,0
D11,0
D12,0
D13,0
D14,0
D15,0
D16,0
D17,0
D18,0
D19,0
D20,0
D21,0
D22,0
D23,0
D24,0
D25,0
D26,0
E1,0
E2,0
E3,0
E4,0
E5,0
E6,0
E7,0
E8,0
E9,0
E10,0
E11,0
E12,0
E13,0
E14,0
E15,0
E16,0
E17,0
E18,0
E19,0
E20,0
E21,0
E22,0
E23,0
E24,0
F1,0
F2,0
F3,0
F4,0
F5,0
F6,0
F7,0
F8,0
F9,0
F10,0
F11,0
F12,0
F13,0
F14,0
F15,0
F16,0
F17,0
F18,0
F19,0
F20,0
F21,0
F22,0
F23,0
F24,0
F25,0
G1,0
G2,0
G3,0
G4,0
G5,0
G6,0
G7,0
G8,0
G9,0
G10,0
G11,0
G12,0
G13,0
G14,0
G15,0
G16,0
G17,0
G18,0
G19,0
G20,0
G21,0
H1,0
H2,0
H3,0
H4,0
H5,0
H6,0
H7,0
H8,0
H9,0
H10,0
H11,0
H12,0
H13,0
H14,0
H15,0
H16,0
H17,0
H18,0
H19,0
H20,0
H21,0
H22,0
H23,0
M1,0
M2,0
M3,0
M4,0
M5,0
M6,0
M7,0
M8,0
M9,0
M10,0
M11,0
M12,0
M13,0
M14,0
M15,0
